CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0137,0.9999867101775557
C0001,C0163,0.9999390245146917
C0001,C0190,0.9996530135160296
C0002,C0134,0.9906841251625378
C0002,C0106,0.9880090403055535
C0002,C0175,0.9806351527058511
C0003,C0165,0.9962110825807161
C0003,C0048,0.9955269565367981
C0003,C0099,0.9903554980143192
C0004,C0013,0.9997722991224631
C0004,C0184,0.9994884816174197
C0004,C0108,0.9925301329466292
C0005,C0022,0.9999038969833436
C0005,C0027,0.969226857371263
C0005,C0090,0.9601682438227679
C0006,C0102,0.9994920355228022
C0006,C0187,0.9994154519302827
C0006,C0158,0.9858455812147241
C0007,C0056,0.9972485454451235
C0007,C0200,0.9181165647750701
C0007,C0040,0.7128424705066797
C0008,C0046,0.9990343930819112
C0008,C0049,0.9986908068405365
C0008,C0139,0.9960097259682283
C0009,C0121,0.9970375193947827
C0009,C0103,0.9960752923770642
C0009,C0070,0.9881854676751517
C0010,C0135,0.999999999827227
C0010,C0198,0.9993186990497523
C0010,C0199,0.9985366038300036
C0011,C0195,0.9997585202426129
C0011,C0169,0.9989243462118956
C0011,C0147,0.9980993293716133
C0012,C0150,0.9967266098874511
C0012,C0129,0.9723482875553485
C0012,C0191,0.9655413122727023
C0013,C0184,0.9999433344288479
C0013,C0004,0.9997722991224631
C0013,C0108,0.9897007892468428
C0014,C0124,0.9973232921526809
C0014,C0017,0.9869315785880429
C0014,C0069,0.9773871447946143
C0015,C0068,0.9977135454411404
C0015,C0157,0.9942905566136232
C0015,C0058,0.9934580071438602
C0016,C0042,0.9997880492394019
C0016,C0154,0.9928799993609762
C0016,C0020,0.927089078652541
C0017,C0069,0.9986885088896378
C0017,C0060,0.9876274947338647
C0017,C0014,0.9869315785880429
C0018,C0024,0.9999988555161936
C0018,C0067,0.9837960658403874
C0018,C0116,0.8664035252051718
C0019,C0119,0.9969716664548898
C0019,C0075,0.9862305224059483
C0019,C0114,0.9815829351264664
C0020,C0094,0.9995081948668172
C0020,C0050,0.9814104021224122
C0020,C0154,0.9651388531332973
C0021,C0080,0.999886089469665
C0021,C0173,0.9769799795000724
C0021,C0088,0.9689653797254207
C0022,C0005,0.9999038969833436
C0022,C0027,0.9657209429013051
C0022,C0090,0.9562021930144645
C0023,C0149,0.999402194022163
C0023,C0172,0.9912536200574462
C0023,C0081,0.9900557354156082
C0024,C0018,0.9999988555161936
C0024,C0067,0.9835236844678628
C0024,C0116,0.866336890931748
